"","trip_distance","type","month","velocity","date","awnd","prcp","snwd","tmax","tmin","tsun"
"790",610.407714432872,"bike","01",1.3564615876286,2021-01-11,11,0,0,28,-21,NA
"791",1742.26218010479,"bike","04",5.05003530465157,2021-04-08,19,0,0,211,94,NA
"792",5094.53118820647,"bike","04",4.95095353567198,2021-04-26,39,0,0,156,50,NA
"793",1770.2784,"taxi","10",5.33216385542169,2020-10-31,12,0,0,78,0,NA
"794",5938.47936,"taxi","09",6.95372290398127,2020-09-26,13,0,0,233,183,NA
"795",1327.66506061806,"bike","08",3.40426938620014,2020-08-13,9,61,0,261,222,NA
"796",5294.74176,"taxi","06",4.7316727077748,2020-06-25,13,0,0,306,222,NA
"797",3701.4912,"taxi","08",4.90263735099338,2020-08-27,16,107,0,322,189,NA
"798",3266.96832,"taxi","05",3.83446985915493,2021-05-13,17,0,0,222,100,NA
"799",5117.71392,"taxi","04",5.01245241919687,2021-04-01,48,8,0,144,33,NA
"800",2719.79136,"taxi","11",4.26299586206897,2020-11-13,18,48,0,100,83,NA
"801",3379.6224,"taxi","11",5.42475505617978,2020-11-01,26,102,0,128,61,NA
"802",1174.82112,"taxi","05",2.90079288888889,2021-05-23,32,0,0,311,200,NA
"803",1477.24119227572,"bike","10",2.53386139326882,2020-10-01,17,0,0,222,156,NA
"804",2537.91067574835,"bike","07",2.47359714985219,2020-07-31,7,198,0,278,211,NA
"805",1953.65855829979,"bike","07",3.59128411452167,2020-07-29,7,0,0,322,250,NA
"806",1300.62834342404,"bike","12",3.51521173898388,2020-12-03,30,0,0,100,17,NA
"807",1931.2128,"taxi","12",2.9216532526475,2020-12-23,22,0,50,72,22,NA
"808",4023.36,"taxi","05",4.58763968072976,2021-05-19,22,0,0,300,183,NA
"809",1922.47135685548,"bike","12",3.93949048535959,2020-12-28,24,0,0,100,17,NA
"810",6747.04295426053,"bike","01",3.8554531167203,2021-01-20,34,5,0,44,-27,NA
"811",4345.2288,"taxi","01",5.16060427553444,2021-01-30,34,0,0,0,-82,NA
"812",2184.33372868402,"bike","09",3.50615365759876,2020-09-28,13,5,0,250,206,NA
"813",2285.26848,"taxi","05",3.55960822429907,2021-05-15,14,0,0,261,128,NA
"814",6501.74976,"taxi","04",11.5689497508897,2021-04-30,55,8,0,217,78,NA
"815",6086.4276145944,"bike","12",3.24609472778368,2020-12-07,27,0,0,44,0,NA
"816",6566.12352,"taxi","07",7.57338352941177,2020-07-13,18,5,0,300,211,NA
"817",3274.10497094784,"bike","05",1.80292123950872,2021-05-20,11,0,0,244,150,NA
"818",1384.03584,"taxi","11",3.92078141643059,2020-11-24,26,0,0,89,50,NA
"819",1223.10144,"taxi","12",4.24688,2020-12-16,50,218,0,-5,-43,NA
"820",4937.0615927108,"bike","05",5.67478343989747,2021-05-20,11,0,0,244,150,NA
"821",3057.7536,"taxi","04",5.31783234782609,2021-04-30,55,8,0,217,78,NA
"822",4506.1632,"taxi","10",3.82851588785047,2020-10-06,14,0,0,206,139,NA
"823",3055.252125807,"bike","09",3.66337185348561,2020-09-30,28,290,0,217,156,NA
"824",885.1392,"taxi","12",4.89027182320442,2020-12-31,23,122,0,89,22,NA
"825",3524.46336,"taxi","05",5.07847746397695,2021-05-04,22,58,0,228,111,NA
"826",5214.27456,"taxi","05",6.49349260273973,2021-05-06,26,0,0,189,100,NA
"827",1931.2128,"taxi","03",4.55474716981132,2021-03-04,47,0,0,72,-27,NA
"828",4724.32628718616,"bike","07",4.08325521796557,2020-07-16,17,0,0,256,206,NA
"829",2404.89824420613,"bike","09",1.82465724143105,2020-09-06,16,0,0,278,189,NA
"830",12681.63072,"taxi","05",10.6211312562814,2021-05-08,16,13,0,128,89,NA
"831",3276.85196859014,"bike","09",3.48972520616629,2020-09-29,17,119,0,233,194,NA
"832",3057.7536,"taxi","04",3.48263507972665,2021-04-07,13,0,0,222,106,NA
"833",3532.89305789665,"bike","10",2.63648735663929,2020-10-02,17,10,0,183,117,NA
"834",1770.2784,"taxi","02",7.76437894736842,2021-02-21,26,0,130,28,-43,NA
"835",1126.5408,"taxi","10",3.0041088,2020-10-12,39,244,0,139,94,NA
"836",501.189385889785,"bike","10",4.59806776045675,2020-10-26,18,5,0,150,106,NA
"837",2349.64224,"taxi","06",3.52799135135135,2020-06-25,13,0,0,306,222,NA
"838",685.750990822829,"bike","01",4.18140848062701,2021-01-20,34,5,0,44,-27,NA
"839",616.384809256553,"bike","12",6.42067509642243,2020-12-03,30,0,0,100,17,NA
"840",2978.28341081257,"bike","08",2.83376157070654,2020-08-25,25,91,0,317,217,NA
"841",2068.40557448914,"bike","04",3.24710451254183,2021-04-28,11,13,0,294,111,NA
"842",2664.31444917131,"bike","08",3.87255007146993,2020-08-11,15,0,0,311,256,NA
"843",1197.40174694644,"bike","10",0.676498162116634,2020-10-25,26,5,0,117,72,NA
"844",1609.344,"taxi","12",4.11596930946292,2020-12-28,24,0,0,100,17,NA
"845",2687.60448,"taxi","01",5.54145253608247,2021-01-29,62,0,0,-38,-99,NA
"846",2574.9504,"taxi","12",5.34222074688797,2020-12-21,16,0,130,78,28,NA
"847",2118.64516802712,"bike","04",5.54619153933801,2021-04-30,55,8,0,217,78,NA
"848",1690.30361347633,"bike","05",2.53418832605147,2021-05-03,26,147,0,189,111,NA
"849",1287.4752,"taxi","06",3.21066134663342,2020-06-24,19,0,0,300,233,NA
"850",6787.18210105365,"bike","11",4.95414751901726,2020-11-19,23,0,0,89,-10,NA
"851",3138.2208,"taxi","05",3.78098891566265,2021-05-07,21,0,0,189,94,NA
"852",1708.09857698018,"bike","05",2.9706062208351,2021-05-26,19,18,0,300,183,NA
"853",785.501650608082,"bike","02",2.64478670238411,2021-02-15,26,5,180,22,-5,NA
"854",2846.12435994903,"bike","11",3.36024127502838,2020-11-26,21,201,0,183,128,NA
"855",2024.80898249691,"bike","10",2.21049015556431,2020-10-23,5,0,0,206,172,NA
"856",4677.77644357525,"bike","06",5.55555397099198,2020-06-23,11,0,0,306,233,NA
"857",1651.13071281717,"bike","09",3.48339812830626,2020-09-10,12,305,0,278,228,NA
"858",643.7376,"taxi","07",3.55656132596685,2020-07-21,8,0,0,328,250,NA
"859",2950.79263276884,"bike","07",3.83219822437512,2020-07-30,13,20,0,333,233,NA
"860",2703.69792,"taxi","12",3.755136,2020-12-29,40,0,0,61,-10,NA
"861",1287.4752,"taxi","11",3.26770355329949,2020-11-24,26,0,0,89,50,NA
"862",3322.88688339918,"bike","04",1.20046491452282,2021-04-20,19,0,0,244,117,NA
"863",2596.57382574876,"bike","05",4.10850288884297,2021-05-31,17,5,0,211,94,NA
"864",4876.31232,"taxi","12",6.11066706766917,2020-12-13,31,0,0,167,83,NA
"865",2140.42752,"taxi","03",4.26379984063745,2021-03-06,39,0,0,11,-16,NA
"866",447.256879015937,"bike","05",0.213793919223679,2021-05-04,22,58,0,228,111,NA
"867",1915.11936,"taxi","10",2.73979879828326,2020-10-06,14,0,0,206,139,NA
"868",901.23264,"taxi","05",7.09632,2021-05-20,11,0,0,244,150,NA
"869",4032.94965048173,"bike","04",4.88842381876574,2021-04-18,16,0,0,178,94,NA
"870",2139.51124199634,"bike","09",1.87020213461219,2020-09-06,16,0,0,278,189,NA
"871",2542.02210504164,"bike","07",4.42090800876808,2020-07-19,19,0,0,344,250,NA
